MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,LIVE
4,EXC
5,EXC
6,EXC
7,LIVE
8,EXC
9,LIVE
10,EXC
11,EXC
12,LIVE
13,EXC
14,EXC
15,LIVE
16,EXC
17,EXC
18,EXC
19,LIVE
20,EXC
21,EXC
22,EXC
23,EXC
24,FAIL
25,EXC
26,EXC
27,LIVE
28,LIVE
30,FAIL
31,EXC
32,EXC
33,EXC
34,EXC
35,FAIL
36,EXC
37,EXC
38,FAIL
39,EXC
40,EXC
41,EXC
42,EXC
43,FAIL
44,EXC
45,FAIL
46,LIVE
47,LIVE
48,LIVE
49,TIME
50,LIVE
51,LIVE
52,LIVE
53,LIVE
54,LIVE
55,TIME
56,TIME
57,LIVE
58,LIVE
59,LIVE
60,LIVE
61,FAIL
62,FAIL
63,EXC
64,LIVE
65,EXC
66,LIVE
67,LIVE
81,FAIL
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,LIVE
88,LIVE
89,LIVE
90,LIVE
91,LIVE
94,LIVE
95,LIVE
96,LIVE
97,LIVE
98,LIVE
99,FAIL
100,LIVE
101,FAIL
102,FAIL
103,LIVE
104,FAIL
105,FAIL
106,FAIL
107,LIVE
108,FAIL
109,LIVE
110,FAIL
111,LIVE
112,FAIL
113,LIVE
114,FAIL
115,LIVE
116,FAIL
117,LIVE
118,FAIL
119,FAIL
120,LIVE
121,LIVE
122,LIVE
123,FAIL
124,EXC
125,LIVE
126,EXC
127,TIME
128,EXC
129,LIVE
130,TIME
131,EXC
132,LIVE
133,EXC
134,EXC
135,LIVE
136,EXC
137,FAIL
138,FAIL
139,EXC
140,LIVE
141,FAIL
142,EXC
143,EXC
144,EXC
145,EXC
146,EXC
147,EXC
148,EXC
149,EXC
150,EXC
151,EXC
152,TIME
153,EXC
154,EXC
155,EXC
156,EXC
157,EXC
158,EXC
159,EXC
160,EXC
161,EXC
162,EXC
163,EXC
164,EXC
165,EXC
166,EXC
167,EXC
168,EXC
169,FAIL
170,EXC
171,EXC
172,FAIL
173,EXC
174,FAIL
175,EXC
176,TIME
179,EXC
180,EXC
181,EXC
182,FAIL
183,EXC
184,EXC
185,EXC
186,LIVE
187,LIVE
188,EXC
189,EXC
190,LIVE
191,LIVE
192,EXC
193,FAIL
194,LIVE
195,LIVE
196,EXC
197,EXC
198,LIVE
199,LIVE
200,EXC
201,FAIL
202,LIVE
203,LIVE
204,FAIL
205,FAIL
206,EXC
207,EXC
209,EXC
210,EXC
211,EXC
212,EXC
213,EXC
214,EXC
215,EXC
216,TIME
217,EXC
223,EXC
224,EXC
225,FAIL
226,EXC
227,FAIL
267,FAIL
268,LIVE
269,LIVE
270,FAIL
271,LIVE
272,LIVE
273,EXC
274,LIVE
275,FAIL
276,EXC
277,LIVE
278,EXC
279,FAIL
280,FAIL
281,FAIL
282,LIVE
283,FAIL
284,FAIL
285,FAIL
286,FAIL
287,FAIL
288,FAIL
289,FAIL
290,FAIL
291,FAIL
292,FAIL
293,FAIL
294,FAIL
295,FAIL
296,FAIL
297,FAIL
298,FAIL
299,FAIL
300,FAIL
301,FAIL
302,FAIL
303,FAIL
304,EXC
305,FAIL
306,LIVE
307,EXC
308,LIVE
309,LIVE
323,FAIL
324,LIVE
325,LIVE
326,LIVE
327,LIVE
328,LIVE
330,LIVE
331,LIVE
332,LIVE
333,LIVE
336,EXC
337,LIVE
338,LIVE
339,LIVE
340,EXC
341,LIVE
342,LIVE
343,FAIL
344,LIVE
345,EXC
346,EXC
347,EXC
348,LIVE
349,FAIL
350,FAIL
351,LIVE
352,FAIL
353,FAIL
354,FAIL
355,FAIL
356,LIVE
357,EXC
358,EXC
359,EXC
360,FAIL
361,EXC
362,EXC
363,EXC
364,LIVE
365,EXC
366,EXC
367,EXC
368,EXC
369,EXC
370,EXC
371,EXC
372,EXC
373,EXC
